ID,Attrition_Flag,Age,Gender,Dependent_count,Education_Level,Marital_Status,Income_Category,Card_Category,Months_on_book,Total_Relationship_Count,Months_Inactive_12_mon,Contacts_Count_12_mon,Credit_Limit,Total_Used_Bal,Total_Unused_Bal,Total_Amt_Chng_Q4_Q1,Total_Trans_Amt,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Avg_Utilization_Ratio
358999029,Existing Customer,19,M,0,Graduate,Single,Less than $40K,Blue,13,6,4,2,2843.5,2019,566,0.525,2644,40,0.481,0.781
389722554,Existing Customer,19,M,0,Graduate,Single,$40K - $60K,Blue,13,6,1,2,3619,1616,1674,0.466,2781,54,0.35,0.491
357247629,Existing Customer,19,M,0,College,Single,Less than $40K,Blue,36,4,1,3,1582.13,479,959.3,0.553,1786,37,0.37,0.333
378032716,Existing Customer,19,M,0,N/A,Single,$40K - $60K,Green,19,5,3,2,2405.7,1597,590,0.777,2560,46,0.314,0.73
406734729,Existing Customer,19,F,1,Graduate,Single,$40K - $60K,Blue,20,6,4,3,1582.13,673,765.3,0.595,2167,48,0.412,0.468
404671104,Existing Customer,19,M,0,Graduate,Single,N/A,Blue,19,4,1,2,1582.13,0,1438.3,0.472,2005,47,0.469,0
357687279,Existing Customer,19,M,0,College,Divorced,Less than $40K,Blue,36,5,3,3,4565,456,3694,1.126,2483,74,0.542,0.11
360632941,Existing Customer,19,M,1,Graduate,Single,Less than $40K,Blue,13,3,4,2,2391.4,1514,660,0.607,2510,44,0.294,0.696
357741241,Existing Customer,19,M,0,High School,Single,N/A,Blue,36,5,3,3,3502.4,1421,1763,0.712,2253,59,0.439,0.446
356543454,Existing Customer,19,M,0,High School,Single,$40K - $60K,Blue,36,5,3,2,2433.2,1670,542,0.777,2520,51,0.545,0.755
394663404,Existing Customer,19,M,0,College,Single,$60K - $80K,Blue,15,5,1,2,9093.7,1720,6547,0.633,1917,37,0.48,0.208
394865716,Existing Customer,19,F,0,N/A,Single,Less than $40K,Blue,13,4,3,4,2269.3,1390,673,0.877,2602,42,0.556,0.674
